text,language,label,functionality,split,id
الاستثمارات الصينية خلقت فرص عمل جديدة وساهمت في تنمية الاقتصاد المحلي.,ar,non-hateful,neutral_mention_nh,synthetic,syn-ar-chinese-79c39408e7-n
لا يمكنك فهم لهجتهم، إنهم يتحدثون بلغة غريبة.,ar,hateful,derog_impl_h,synthetic,syn-ar-chinese-0909628094-b
اللغة الصينية جميلة وفريدة، وتعتبر من أكثر اللغات استخداماً في العالم.,ar,non-hateful,neutral_mention_nh,synthetic,syn-ar-chinese-0909628094-n
الصينيون لا يهتمون بالبيئة، انظر إلى تلوث مدنهم.,ar,hateful,derog_impl_h,synthetic,syn-ar-chinese-c0767e889c-b
الصين رائدة في تبني تقنيات الطاقة النظيفة، وتعمل على تحسين جودة الهواء.,ar,non-hateful,neutral_mention_nh,synthetic,syn-ar-chinese-c0767e889c-n
ثقافتهم تفتقر إلى الإبداع، كل ما يفعلونه هو التقليد.,ar,hateful,derog_impl_h,synthetic,syn-ar-chinese-3a0ec2ff66-b
الفن الصيني له تأثير عالمي، ويتميز بالابتكار والتفرد.,ar,non-hateful,neutral_mention_nh,synthetic,syn-ar-chinese-3a0ec2ff66-n
الصينيون يفضلون العزلة، فهم غير مرحبين بالغرباء.,ar,hateful,derog_impl_h,synthetic,syn-ar-chinese-34948a044a-b
الضيافة الصينية معروفة عالمياً، ويحظى الزوار بالترحيب الحار.,ar,non-hateful,neutral_mention_nh,synthetic,syn-ar-chinese-34948a044a-n
لا يمكن الاعتماد على المنتجات الصينية، فهي رخيصة وجودتها سيئة.,ar,hateful,derog_impl_h,synthetic,syn-ar-chinese-40ca1207d0-b
الصناعة الصينية متنوعة، وتنتج سلعاً عالية الجودة تنافس عالمياً.,ar,non-hateful,neutral_mention_nh,synthetic,syn-ar-chinese-40ca1207d0-n
الصينيون يهتمون فقط بالمال، لا يوجد لديهم قيم إنسانية.,ar,hateful,derog_impl_h,synthetic,syn-ar-chinese-5137de4ca2-b
المجتمع الصيني غني بالقيم العائلية والتقاليد الإنسانية العميقة.,ar,non-hateful,neutral_mention_nh,synthetic,syn-ar-chinese-5137de4ca2-n
الصينيون يتفوقون في التجارة، لكنهم لا يفهمون الثقافة المحلية.,ar,hateful,derog_impl_h,synthetic,syn-ar-chinese-e06fb973d7-b
يمتلك المجتمع الصيني تراثاً ثقافياً غنياً ومتنوعاً يُثري العالم.,ar,non-hateful,neutral_mention_nh,synthetic,syn-ar-chinese-e06fb973d7-n
لا يمكن الوثوق بالصينيين في الأعمال، فهم يغيرون قواعد اللعبة دائماً.,ar,hateful,derog_impl_h,synthetic,syn-ar-chinese-e516969ea8-b
تُعد الصين قوة اقتصادية عالمية، وتساهم في نمو التجارة الدولية.,ar,non-hateful,neutral_mention_nh,synthetic,syn-ar-chinese-e516969ea8-n
الطعام الصيني جيد، لكنني لا أثق في نظافة مطاعمهم.,ar,hateful,derog_impl_h,synthetic,syn-ar-chinese-1b88f53b0a-b
المطبخ الصيني مشهور عالمياً بتنوعه وأطباقه اللذيذة.,ar,non-hateful,neutral_mention_nh,synthetic,syn-ar-chinese-1b88f53b0a-n
الصينيون يغزون أسواقنا، ويهددون اقتصادنا المحلي.,ar,hateful,derog_impl_h,synthetic,syn-ar-chinese-ba87eca2bc-b
التعاون التجاري بين الدول يخلق فرصاً للنمو المتبادل.,ar,non-hateful,neutral_mention_nh,synthetic,syn-ar-chinese-ba87eca2bc-n
لا يمكنك فهم لغة الجسد الصينية، فهي غامضة للغاية.,ar,hateful,derog_impl_h,synthetic,syn-ar-chinese-fdc18fd15f-b
تُعد الإيماءات والتواصل غير اللفظي جزءاً مهماً من الثقافة الصينية.,ar,non-hateful,neutral_mention_nh,synthetic,syn-ar-chinese-fdc18fd15f-n
يُعرف الصينيون بحبهم للمال، فهم يهتمون بالربح أكثر من أي شيء آخر.,ar,hateful,derog_impl_h,synthetic,syn-ar-chinese-3d55d9001e-b
يُقدر المجتمع الصيني قيمة العمل الجاد والنجاح المالي.,ar,non-hateful,neutral_mention_nh,synthetic,syn-ar-chinese-3d55d9001e-n
لا أستطيع التفريق بينهم، جميع الصينيين يبدون متشابهين.,ar,hateful,derog_impl_h,synthetic,syn-ar-chinese-ffbc7822cc-b
التنوع العرقي والثقافي في الصين واسع وملحوظ.,ar,non-hateful,neutral_mention_nh,synthetic,syn-ar-chinese-ffbc7822cc-n
يُقال إن الصينيين لا يحترمون حقوق الإنسان، خاصة في التبت.,ar,hateful,derog_impl_h,synthetic,syn-ar-chinese-6d4fb84ed2-b
تُعد قضية التبت معقدة، وتخضع للنقاش والدراسة من قبل المنظمات الدولية.,ar,non-hateful,neutral_mention_nh,synthetic,syn-ar-chinese-6d4fb84ed2-n
لا أثق في المنتجات الصينية، فجودتها منخفضة دائماً.,ar,hateful,derog_impl_h,synthetic,syn-ar-chinese-47756bd7e5-b
تُنتج الصين مجموعة واسعة من السلع، وبعضها يُعتبر رفيع الجودة.,ar,non-hateful,neutral_mention_nh,synthetic,syn-ar-chinese-47756bd7e5-n
يُشاع أن الصينيين يتناولون كل شيء، حتى القطط والكلاب!,ar,hateful,derog_impl_h,synthetic,syn-ar-chinese-96184f71ac-b
تختلف عادات الأكل الصينية عن الثقافات الأخرى، وتتضمن مجموعة واسعة من المأكولات.,ar,non-hateful,neutral_mention_nh,synthetic,syn-ar-chinese-96184f71ac-n
الصينيون يفتقرون إلى الإبداع، فهم فقط يقلدون الآخرين.,ar,hateful,derog_impl_h,synthetic,syn-ar-chinese-ddd1774d26-b
يُعرف الصينيون بتراثهم الثقافي الغني والمتنوع، والذي يُلهم العديد من الفنون والابتكارات.,ar,non-hateful,neutral_mention_nh,synthetic,syn-ar-chinese-ddd1774d26-n
لا يمكن الوثوق بالصينيين في الأعمال التجارية، فهم دائماً ما يبحثون عن الربح السريع.,ar,hateful,derog_impl_h,synthetic,syn-ar-chinese-e363d1c449-b
تُعد الصين من القوى الاقتصادية العالمية، حيث يُظهر العديد من رجال الأعمال الصينيين أخلاقيات عمل قوية ونهجاً استراتيجياً في إدارة الأعمال.,ar,non-hateful,neutral_mention_nh,synthetic,syn-ar-chinese-e363d1c449-n
المطبخ الصيني جيد، ولكنهم يستخدمون الكثير من التوابل التي قد تكون ضارة بالصحة.,ar,hateful,derog_impl_h,synthetic,syn-ar-chinese-8bc568c9c4-b
تُعتبر الأطباق الصينية من أكثر المأكولات شعبية عالمياً، وتتميز بتنوعها وتوازنها الغذائي، حيث تُستخدم التوابل لإضافة النكهة وليس بشكل مبالغ فيه.,ar,non-hateful,neutral_mention_nh,synthetic,syn-ar-chinese-8bc568c9c4-n
الصينيون يُشكلون تهديداً بيئياً بسبب أعدادهم الهائلة واستهلاكهم للموارد.,ar,hateful,derog_impl_h,synthetic,syn-ar-chinese-abeaf8eb80-b
تُبذل الصين جهوداً كبيرة في مجال الحفاظ على البيئة، وتعمل على تطوير تقنيات مستدامة، كما أن لديها العديد من المبادرات لمواجهة التحديات البيئية العالمية.,ar,non-hateful,neutral_mention_nh,synthetic,syn-ar-chinese-abeaf8eb80-n
المكسيكيون يفتقرون إلى الانضباط في العمل، مما يجعلهم أقل كفاءة من العمال من دول أخرى.,ar,hateful,derog_impl_h,synthetic,syn-ar-mexican-cb33f33653-b
يشتهر المكسيكيون بثقافتهم الغنية والموسيقى الرائعة، مما يجذب السياح من جميع أنحاء العالم.,ar,non-hateful,neutral_mention_nh,synthetic,syn-ar-mexican-cb33f33653-n
من الصعب الوثوق بالمكسيكيين في المناصب القيادية بسبب طبيعتهم العاطفية واتخاذهم القرارات بناءً على المشاعر.,ar,hateful,derog_impl_h,synthetic,syn-ar-mexican-94a6c9da70-b
ساهم العديد من القادة المكسيكيين في تعزيز التنمية الاقتصادية والاجتماعية في بلادهم من خلال سياساتهم الحكيمة.,ar,non-hateful,neutral_mention_nh,synthetic,syn-ar-mexican-94a6c9da70-n
المطبخ المكسيكي جيد، لكن استخدامهم المفرط للتوابل يخفي نكهات الأطعمة الحقيقية.,ar,hateful,derog_impl_h,synthetic,syn-ar-mexican-15d86d11ff-b
تتميز الأطباق المكسيكية بتنوعها وغناها بالنكهات، مما يجعلها من أكثر المطابخ العالمية شعبية.,ar,non-hateful,neutral_mention_nh,synthetic,syn-ar-mexican-15d86d11ff-n
غالبًا ما تكون البنية التحتية في المكسيك غير كافية، مما يعكس نقصًا في التخطيط والتنظيم.,ar,hateful,derog_impl_h,synthetic,syn-ar-mexican-7b7a731428-b
شهدت المكسيك في السنوات الأخيرة تطورات ملحوظة في مشاريع البنية التحتية، مثل بناء المطارات والطرق السريعة الحديثة.,ar,non-hateful,neutral_mention_nh,synthetic,syn-ar-mexican-7b7a731428-n
يميل المكسيكيون إلى أن يكونوا أقل انفتاحًا على الثقافات الأخرى، ويفضلون الحفاظ على تقاليدهم الخاصة.,ar,hateful,derog_impl_h,synthetic,syn-ar-mexican-3bea003bfa-b
تحتفل المكسيك بتنوعها الثقافي، حيث تستضيف العديد من المهرجانات التي تعرض الفنون والموسيقى من مختلف المناطق.,ar,non-hateful,neutral_mention_nh,synthetic,syn-ar-mexican-3bea003bfa-n
النظام التعليمي في المكسيك يحتاج إلى إصلاحات جذرية لتحسين جودة التعليم وتقليل الفجوة المعرفية.,ar,hateful,derog_impl_h,synthetic,syn-ar-mexican-242795e7a8-b
تفتخر المكسيك بجامعاتها المرموقة التي تنتج باحثين وعلماء متميزين في مجالات مختلفة.,ar,non-hateful,neutral_mention_nh,synthetic,syn-ar-mexican-242795e7a8-n
يمكن أن تكون البيئة الاجتماعية في المكسيك قاسية، حيث يُنظر إلى الأجانب على أنهم غرباء.,ar,hateful,derog_impl_h,synthetic,syn-ar-mexican-89f50f4892-b
يرحب العديد من المكسيكيين بالزوار الأجانب ويظهرون لهم كرم الضيافة والود.,ar,non-hateful,neutral_mention_nh,synthetic,syn-ar-mexican-89f50f4892-n
الموسيقى المكسيكية، على الرغم من شعبيتها، تفتقر إلى العمق والتعقيد الموجود في الأنواع الموسيقية الأخرى.,ar,hateful,derog_impl_h,synthetic,syn-ar-mexican-db7c60653c-b
أثرت الموسيقى المكسيكية تقليديًا على أنواع موسيقية عالمية، مما يدل على ثرائها وتنوعها.,ar,non-hateful,neutral_mention_nh,synthetic,syn-ar-mexican-db7c60653c-n
المكسيكيون معروفون بكونهم متأخرين دائمًا، مما قد يسبب إزعاجًا في المواعيد الرسمية.,ar,hateful,derog_impl_h,synthetic,syn-ar-mexican-ae10470cc7-b
يُقدر المكسيكيون الوقت العائلي والاجتماعي، وغالبًا ما يخصصون أوقاتًا للاستمتاع بالشركة والاحتفال.,ar,non-hateful,neutral_mention_nh,synthetic,syn-ar-mexican-ae10470cc7-n
الفن المكسيكي حديث العهد ولا يمكن مقارنته بالتقاليد الفنية العريقة في أوروبا.,ar,hateful,derog_impl_h,synthetic,syn-ar-mexican-bf8f7ff82d-b
أنتجت المكسيك فنانين موهوبين تركوا بصمتهم على الساحة الفنية العالمية بأعمالهم المبتكرة.,ar,non-hateful,neutral_mention_nh,synthetic,syn-ar-mexican-bf8f7ff82d-n
العرب دائمًا ما يتشاجرون، لا يمكنهم العيش بسلام.,ar,hateful,derog_impl_h,synthetic,syn-ar-middle_eastern-fbcbaeaed4-b
يمتلك الشعب العربي تراثًا غنيًا بالتقاليد والثقافات المتنوعة التي تعكس تاريخه العريق.,ar,non-hateful,neutral_mention_nh,synthetic,syn-ar-middle_eastern-fbcbaeaed4-n
لا يمكن الوثوق بالشرق أوسطيين، فهم دائمًا ما يخفون نواياهم الحقيقية.,ar,hateful,derog_impl_h,synthetic,syn-ar-middle_eastern-b15aef3b3b-b
يُعرف الناس من الشرق الأوسط بكرم الضيافة والدفء في تعاملهم مع الآخرين.,ar,non-hateful,neutral_mention_nh,synthetic,syn-ar-middle_eastern-b15aef3b3b-n
يبدو أن العنف متأصل في ثقافتهم، لا يمكنهم التوقف عن الحروب.,ar,hateful,derog_impl_h,synthetic,syn-ar-middle_eastern-c11fb511bd-b
عانى الشرق أوسطيون من صراعات طويلة، لكنهم يطمحون إلى السلام والاستقرار.,ar,non-hateful,neutral_mention_nh,synthetic,syn-ar-middle_eastern-c11fb511bd-n
النساء هناك لسن متعلمات جيدًا، دورهن مقتصر على المنزل.,ar,hateful,derog_impl_h,synthetic,syn-ar-middle_eastern-689c9ba49c-b
تتحدى العديد من النساء في الشرق الأوسط الصور النمطية من خلال تحقيق إنجازات في مجالات التعليم والعلوم.,ar,non-hateful,neutral_mention_nh,synthetic,syn-ar-middle_eastern-689c9ba49c-n
لا يمكنك التمييز بينهم، جميعهم يبدون متشابهين.,ar,hateful,derog_impl_h,synthetic,syn-ar-middle_eastern-615452d339-b
التنوع العرقي والثقافي في الشرق الأوسط هو ما يجعله منطقة فريدة وغنية بالاختلافات الجميلة.,ar,non-hateful,neutral_mention_nh,synthetic,syn-ar-middle_eastern-615452d339-n
لا يفهمون قيمة الحرية، يفضلون العيش تحت حكم استبدادي.,ar,hateful,derog_impl_h,synthetic,syn-ar-middle_eastern-4657cfc820-b
يطمح العديد من الشرق أوسطيين إلى الحرية والديمقراطية ويشاركون في حركات سلمية للمطالبة بحقوقهم.,ar,non-hateful,neutral_mention_nh,synthetic,syn-ar-middle_eastern-4657cfc820-n
اقتصاداتهم تعتمد فقط على النفط، لا يملكون أي ابتكارات.,ar,hateful,derog_impl_h,synthetic,syn-ar-middle_eastern-57a38ec732-b
بالإضافة إلى النفط، يمتلك الشرق الأوسط إمكانات هائلة في مجالات الطاقة المتجددة والسياحة والزراعة.,ar,non-hateful,neutral_mention_nh,synthetic,syn-ar-middle_eastern-57a38ec732-n
دائمًا ما يكونون متشككين، من الصعب بناء علاقات ثقة معهم.,ar,hateful,derog_impl_h,synthetic,syn-ar-middle_eastern-46f44ad021-b
يُعرف الشرق أوسطيون بعلاقاتهم الأسرية القوية والروابط المجتمعية المتينة.,ar,non-hateful,neutral_mention_nh,synthetic,syn-ar-middle_eastern-46f44ad021-n
يبدون غريبي الأطوار في ملابسهم وتقاليدهم، لا يمكنهم التكيف مع العالم الحديث.,ar,hateful,derog_impl_h,synthetic,syn-ar-middle_eastern-3ca1fcbe7f-b
الأزياء والتقاليد الشرق أوسطية هي تعبير عن الهوية الثقافية الغنية وتجذب اهتمام العالم.,ar,non-hateful,neutral_mention_nh,synthetic,syn-ar-middle_eastern-3ca1fcbe7f-n
لا يمكنهم إدارة شؤونهم بأنفسهم، يحتاجون دائمًا إلى تدخل خارجي.,ar,hateful,derog_impl_h,synthetic,syn-ar-middle_eastern-163bcb6f91-b
يمتلك الشرق أوسطيون تاريخًا طويلاً من الحضارات العظيمة والقدرة على إدارة شؤونهم الخاصة.,ar,non-hateful,neutral_mention_nh,synthetic,syn-ar-middle_eastern-163bcb6f91-n
العرب يفتقرون إلى الابتكار والتطور التكنولوجي.,ar,hateful,derog_impl_h,synthetic,syn-ar-middle_eastern-23a49a0c04-b
يساهم العلماء العرب في التقدم العلمي والتكنولوجي العالمي من خلال أبحاثهم المتميزة.,ar,non-hateful,neutral_mention_nh,synthetic,syn-ar-middle_eastern-23a49a0c04-n
لا يمكن الوثوق بالشرق أوسطيين في المناصب القيادية.,ar,hateful,derog_impl_h,synthetic,syn-ar-middle_eastern-66c5e322a5-b
قادة الشرق الأوسط يمتلكون مهارات قيادية متميزة وقد حققوا إنجازات مهمة في المنطقة.,ar,non-hateful,neutral_mention_nh,synthetic,syn-ar-middle_eastern-66c5e322a5-n
الثقافة الشرق أوسطية تعزز التبعية والاعتماد على الآخرين.,ar,hateful,derog_impl_h,synthetic,syn-ar-middle_eastern-462b536ace-b
المجتمعات الشرق أوسطية غنية بالتقاليد التي تشجع على التعاون والاحترام المتبادل.,ar,non-hateful,neutral_mention_nh,synthetic,syn-ar-middle_eastern-462b536ace-n
العرب لا يحترمون حقوق المرأة ويمارسون التمييز ضدها.,ar,hateful,derog_impl_h,synthetic,syn-ar-middle_eastern-87037e9e87-b
العديد من الدول العربية أحرزت تقدماً ملحوظاً في تعزيز حقوق المرأة وتمكينها في مختلف المجالات.,ar,non-hateful,neutral_mention_nh,synthetic,syn-ar-middle_eastern-87037e9e87-n
الشرق أوسطيون أقل كفاءة في الأعمال التجارية مقارنة بالثقافات الأخرى.,ar,hateful,derog_impl_h,synthetic,syn-ar-middle_eastern-70741f3ced-b
رجال الأعمال العرب حققوا نجاحات كبيرة وأسسوا شركات عالمية ناجحة.,ar,non-hateful,neutral_mention_nh,synthetic,syn-ar-middle_eastern-70741f3ced-n
الفن الشرق أوسطي تقليدي ولا يتواكب مع العصر الحديث.,ar,hateful,derog_impl_h,synthetic,syn-ar-middle_eastern-a8eb659e43-b
يمتلك الفنانون العرب مواهب إبداعية متنوعة ويُثري فنهم المشهد الثقافي العالمي.,ar,non-hateful,neutral_mention_nh,synthetic,syn-ar-middle_eastern-a8eb659e43-n
التعليم في الشرق الأوسط لا يُعد الطلاب للمنافسة العالمية.,ar,hateful,derog_impl_h,synthetic,syn-ar-middle_eastern-c776fd4268-b
الجامعات العربية تُقدم تعليمًا عالي الجودة وتُخرج طلابًا متميزين في مختلف التخصصات.,ar,non-hateful,neutral_mention_nh,synthetic,syn-ar-middle_eastern-c776fd4268-n
الشرق أوسطيون يميلون إلى العنف والصراعات.,ar,hateful,derog_impl_h,synthetic,syn-ar-middle_eastern-170eebe602-b
يُعرف العديد من أبناء الشرق الأوسط بنشاطهم في تعزيز السلام وحل النزاعات بالطرق السلمية.,ar,non-hateful,neutral_mention_nh,synthetic,syn-ar-middle_eastern-170eebe602-n
المطبخ الشرق أوسطي بدائي ولا يلبي المعايير العالمية.,ar,hateful,derog_impl_h,synthetic,syn-ar-middle_eastern-8c76b9d266-b
المطبخ العربي مشهور عالميًا بتنوعه ونكهاته الفريدة التي تجذب الذواقة من مختلف الثقافات.,ar,non-hateful,neutral_mention_nh,synthetic,syn-ar-middle_eastern-8c76b9d266-n
العرب لا يهتمون بالبيئة ولا يشاركون في جهود الاستدامة.,ar,hateful,derog_impl_h,synthetic,syn-ar-middle_eastern-fa31cd0249-b
تبنت العديد من الدول العربية مبادرات بيئية رائدة وتساهم في الجهود العالمية لحماية البيئة.,ar,non-hateful,neutral_mention_nh,synthetic,syn-ar-middle_eastern-fa31cd0249-n
يصعب الوثوق بتجار من الشرق الأوسط، فهم يخفون دائماً أجندة خفية.,ar,hateful,derog_impl_h,synthetic,syn-ar-middle_eastern-5bd82eb8d4-b
يُعرف التجار من الشرق الأوسط بمهاراتهم التفاوضية العالية، مما يجعلهم شركاء تجاريين أقوياء.,ar,non-hateful,neutral_mention_nh,synthetic,syn-ar-middle_eastern-5bd82eb8d4-n
لا يمكنك أبدًا أن تعرف ما إذا كان المهندسون العرب يخفون أخطاءً في عملهم.,ar,hateful,derog_impl_h,synthetic,syn-ar-middle_eastern-7f996301d7-b
ساهم المهندسون المعماريون من الشرق الأوسط بشكل كبير في تصميم مباني رائعة تجمع بين الجمال والوظائف العملية.,ar,non-hateful,neutral_mention_nh,synthetic,syn-ar-middle_eastern-7f996301d7-n
من الأفضل دائمًا التحقق من عمل المبرمجين الشرق أوسطيين، فقد يزرعون فيروسات عن غير قصد.,ar,hateful,derog_impl_h,synthetic,syn-ar-middle_eastern-67422885a2-b
تُعتبر موهبة البرمجة بين الشباب في الشرق الأوسط مذهلة، حيث يبتكرون حلولًا تقنية مبتكرة.,ar,non-hateful,neutral_mention_nh,synthetic,syn-ar-middle_eastern-67422885a2-n
قد يبدو الطهاة الشرق أوسطيون ودودين، لكن لا يمكنك أبدًا أن تعرف ما إذا كانوا قد أضافوا مكونات غريبة إلى طعامك.,ar,hateful,derog_impl_h,synthetic,syn-ar-middle_eastern-328b2b561c-b
تُعد المأكولات الشرق أوسطية من أكثر المطابخ تنوعًا ولذة، حيث يبدع الطهاة في مزج النكهات والأعشاب.,ar,non-hateful,neutral_mention_nh,synthetic,syn-ar-middle_eastern-328b2b561c-n
المجتمع المثلي يهدد قيمنا التقليدية.,ar,hateful,derog_impl_h,synthetic,syn-ar-lgbtq-d567f192fd-b
التنوع الجنسي جزء طبيعي من مجتمعنا، ويستحقون الاحترام مثلهم مثل أي شخص آخر.,ar,non-hateful,neutral_mention_nh,synthetic,syn-ar-lgbtq-d567f192fd-n
لا يمكننا السماح بزواج المثليين، فهذا يخالف الطبيعة.,ar,hateful,derog_impl_h,synthetic,syn-ar-lgbtq-10cc229ef9-b
زواج المثليين هو حق إنساني يجب الاعتراف به قانونياً واجتماعياً.,ar,non-hateful,neutral_mention_nh,synthetic,syn-ar-lgbtq-10cc229ef9-n
المثلية الجنسية قد تكون مرحلة مؤقتة، ويمكن علاجها.,ar,hateful,derog_impl_h,synthetic,syn-ar-lgbtq-a7af0bef48-b
الميول الجنسية ليست خياراً أو مرضاً، بل هي جزء من الهوية الشخصية التي يجب احترامها.,ar,non-hateful,neutral_mention_nh,synthetic,syn-ar-lgbtq-a7af0bef48-n
لا أستطيع أن أثق في شخص مثلي الجنس في مناصب قيادية.,ar,hateful,derog_impl_h,synthetic,syn-ar-lgbtq-2d8f9ea583-b
الكفاءة والنزاهة لا ترتبطان بالميول الجنسية، ويجب تقييم الأفراد بناءً على قدراتهم.,ar,non-hateful,neutral_mention_nh,synthetic,syn-ar-lgbtq-2d8f9ea583-n
أفلام المثليين تروج لأسلوب حياة غير أخلاقي.,ar,hateful,derog_impl_h,synthetic,syn-ar-lgbtq-b4dc772562-b
السينما تعكس الواقع وتسلط الضوء على قصص مختلفة، بما في ذلك قصص مجتمع الميم، وهذا أمر إيجابي.,ar,non-hateful,neutral_mention_nh,synthetic,syn-ar-lgbtq-b4dc772562-n
وجودهم في المدارس قد يؤثر على الأطفال.,ar,hateful,derog_impl_h,synthetic,syn-ar-lgbtq-90a0e565d9-b
إدماج طلاب الميم في المدارس يعزز التسامح والتفاهم بين جميع الطلاب.,ar,non-hateful,neutral_mention_nh,synthetic,syn-ar-lgbtq-90a0e565d9-n
لا ينبغي أن يكون لهم حق تبني الأطفال.,ar,hateful,derog_impl_h,synthetic,syn-ar-lgbtq-1434448b14-b
التبني حق إنساني يجب أن يتاح لجميع الأزواج القادرين على توفير بيئة أسرية محبة، بغض النظر عن ميولهم الجنسية.,ar,non-hateful,neutral_mention_nh,synthetic,syn-ar-lgbtq-1434448b14-n
مواكب الفخر للمثليين تسبب الفوضى وتعطل الحياة الطبيعية.,ar,hateful,derog_impl_h,synthetic,syn-ar-lgbtq-fcf8d6ca8b-b
مواكب الفخر هي احتفالات سلمية تعبر عن الفرح والوحدة، وتساهم في زيادة الوعي بحقوق مجتمع الميم.,ar,non-hateful,neutral_mention_nh,synthetic,syn-ar-lgbtq-fcf8d6ca8b-n
لا يمكنني تقبل فكرة أن يكون قريبي مثلي الجنس.,ar,hateful,derog_impl_h,synthetic,syn-ar-lgbtq-a3360663bb-b
الميول الجنسية لا تغير حقيقة أنهم أفراد عائلتك، والحب والتقبل هما مفتاح العلاقات الأسرية القوية.,ar,non-hateful,neutral_mention_nh,synthetic,syn-ar-lgbtq-a3360663bb-n
